(-1.89546e-05,1.99127e-05)
(3.81827e-05,4.11092e-05)
(7.04118e-06,-7.39709e-06)
(-4.7355e-06,-6.27725e-06)
(2.15282e-05,0.000202271)
(0.000215538,2.54262e-05)
(9.45198e-06,-9.92976e-06)
(-1.90403e-05,-2.04997e-05)
(4.97886e-06,-5.23053e-06)
(-3.3485e-06,-4.43869e-06)
(-1.98416e-05,6.90112e-06)
(1.28819e-05,3.93553e-05)
(9.50066e-07,-1.51977e-08)
(-1.67343e-08,-1.44355e-06)
(-4.86018e-05,1.69042e-05)
(3.1554e-05,9.64005e-05)
(2.0154e-06,-3.22393e-08)
(-3.54988e-08,-3.06224e-06)
(4.30716e-06,4.09991e-06)
(-1.88761e-06,-1.79678e-06)
(-0.0001444,1.53688e-05)
(6.81021e-06,6.48253e-06)
(-1.33474e-06,-1.27052e-06)
(-1.21278e-05,-3.48689e-05)
(-1.11882e-08,-6.99418e-07)
(-2.97068e-05,-8.54109e-05)
(-2.37338e-08,-1.48369e-06)
(6.81021e-06,6.48253e-06)
(2.72408e-06,2.59301e-06)
(-9.02302e-08,-5.64063e-06)
(4.30716e-06,4.09991e-06)
(6.81021e-06,6.48253e-06)
(6.81021e-06,6.48253e-06)
(5.96914e-07,5.68193e-07)
(-3.67104e-05,3.90718e-06)
(2.72408e-06,2.59301e-06)
(1.06779e-06,1.01641e-06)
(-5.68731e-07,-5.41366e-07)
(3.3732e-05,9.69839e-05)
(-2.16948e-05,-6.23753e-05)
(-9.02302e-08,-5.64063e-06)
(2.70132e-08,1.6887e-06)
(-1.79012e-08,-1.11907e-06)
(-2.48545e-05,-7.14599e-05)
(-1.83841e-08,-1.14926e-06)
(0,0)
(8.53221e-06,8.12168e-06)
(-0.000560676,5.96742e-05)
(-3.81572e-06,-3.63213e-06)
(6.80535e-05,6.47791e-05)
(-3.82046e-06,-3.63664e-06)
(8.28359e-05,0.000238164)
(1.83868e-08,1.14943e-06)
(-6.13501e-07,-3.83522e-05)
(6.76415e-08,4.22852e-06)
(-1.80763e-05,-5.19716e-05)
(-0.000113186,-0.000325425)
(-2.05827e-08,-1.2867e-06)
(-8.5552e-08,-5.34818e-06)
(-6.20123e-07,-5.90286e-07)
(-5.34732e-05,5.69129e-06)
(-2.42892e-06,-2.31205e-06)
(-1.47921e-07,-1.40804e-07)
(-5.54655e-07,-5.27968e-07)
(-1.47801e-05,-4.24946e-05)
(-6.68953e-08,-4.18188e-06)
(-8.00102e-09,-5.00173e-07)
(-9.8202e-09,-6.13897e-07)
(-1.55534e-05,-4.47179e-05)
(-9.85338e-06,-2.83297e-05)
(-1.46078e-08,-9.13187e-07)
(-6.33891e-09,-3.96269e-07)
(0,0)
(2.96563e-05,2.82294e-05)
(-2.1702e-06,-2.06578e-06)
(-0.000188891,2.01042e-05)
(-2.9937e-06,-2.84965e-06)
(2.07594e-05,1.97606e-05)
(4.85272e-07,4.61922e-07)
(5.96684e-05,0.000171554)
(-3.64218e-05,-0.000104717)
(3.08435e-08,1.92814e-06)
(-4.81232e-07,-3.00836e-05)
(3.24578e-08,2.02906e-06)
(-3.11451e-08,-1.94699e-06)
(-2.23757e-05,-6.43329e-05)
(-5.15082e-05,-0.000148093)
(-5.27928e-09,-3.30028e-07)
(-2.21838e-08,-1.38679e-06)
(-3.61873e-08,-2.2622e-06)
(3.44576e-05,3.27996e-05)
(0,0)
(-5.67138e-07,-3.54539e-05)
(2.96563e-05,2.82294e-05)
(2.07594e-05,1.97606e-05)
(-4.81232e-07,-3.00836e-05)
(3.44576e-05,3.27996e-05)
(1.40086e-06,1.33346e-06)
(-9.72294e-05,1.03484e-05)
(0,0)
(1.61757e-06,1.53974e-06)
(-1.39625e-06,-1.32907e-06)
(6.12783e-05,0.000176183)
(-4.85624e-05,-0.000139623)
(5.78316e-08,3.61527e-06)
(-5.67138e-07,-3.54539e-05)
(6.75033e-09,4.21988e-07)
(-3.52366e-08,-2.20277e-06)
(-4.08522e-05,-0.000117455)
(-4.02658e-05,-0.000115769)
(-2.04466e-08,-1.27819e-06)
(-3.16618e-08,-1.9793e-06)
(-2.511e-08,-1.56972e-06)
(0,0)
(3.47934e-05,3.31193e-05)
(-0.00253122,0.000269404)
(-2.0088e-05,-1.91214e-05)
(0.000524187,0.000498966)
(-1.44912e-05,-1.3794e-05)
(0.000442487,0.00127221)
(1.67659e-07,1.0481e-05)
(-5.89378e-06,-0.000368442)
(3.19996e-07,2.00042e-05)
(-0.000133415,-0.000383585)
(-3.57451e-08,-2.23456e-06)
(-1.40328e-07,-8.7724e-06)
(-2.25435e-05,2.58256e-05)
(4.24594e-05,4.40327e-05)
(8.30614e-06,-9.51544e-06)
(-5.34494e-06,-7.23351e-06)
(3.45385e-05,0.000232995)
(0.000231846,3.05178e-05)
(1.12416e-05,-1.28783e-05)
(-2.1173e-05,-2.19575e-05)
(5.87333e-06,-6.72843e-06)
(-3.77944e-06,-5.11487e-06)
(-2.52211e-05,1.05213e-05)
(1.61852e-05,4.21754e-05)
(1.32057e-06,-1.26124e-07)
(-1.43021e-07,-1.62872e-06)
(-6.17789e-05,2.57718e-05)
(3.96454e-05,0.000103308)
(2.80135e-06,-2.67548e-07)
