   1.3714e-01   5.7429e+00   5.5000e+01   1.5491e-07   3.5505e-05   8.4000e-08   2.5600e-08   1.9253e-05   5.8675e-06
   2.3143e-01   5.8372e+00   5.5000e+01   4.5172e-07   3.1651e-05   3.8000e-07   6.0000e-08   2.6626e-05   4.2040e-06
   2.4000e-01   5.8458e+00   5.5000e+01   4.7809e-07   3.1341e-05   6.0000e-07   1.2000e-07   3.9333e-05   7.8665e-06
   3.0000e-01   5.9058e+00   5.5000e+01   6.4824e-07   2.9378e-05   6.4000e-07   1.0000e-07   2.9005e-05   4.5320e-06
   3.0857e-01   5.9144e+00   5.5000e+01   6.7026e-07   2.9127e-05   7.6000e-07   1.0800e-07   3.3027e-05   4.6932e-06
   3.1714e-01   5.9229e+00   5.5000e+01   6.9170e-07   2.8882e-05   7.6000e-07   1.4800e-07   3.1734e-05   6.1798e-06
   3.6000e-01   5.9658e+00   5.5000e+01   7.9028e-07   2.7758e-05   8.8000e-07   1.4000e-07   3.0909e-05   4.9174e-06
   3.7714e-01   5.9829e+00   5.5000e+01   8.2587e-07   2.7352e-05   9.2000e-07   1.2800e-07   3.0469e-05   4.2392e-06
   3.9429e-01   6.0001e+00   5.5000e+01   8.5941e-07   2.6969e-05   9.6000e-07   1.5600e-07   3.0125e-05   4.8953e-06
   4.5429e-01   6.0601e+00   5.5000e+01   9.6228e-07   2.5793e-05   9.2000e-07   1.6800e-07   2.4660e-05   4.5031e-06
   4.7143e-01   6.0772e+00   5.5000e+01   9.8798e-07   2.5500e-05   1.0000e-06   1.4800e-07   2.5810e-05   3.8199e-06
   5.3143e-01   6.1372e+00   5.5000e+01   1.0672e-06   2.4604e-05   1.2000e-06   1.7200e-07   2.7665e-05   3.9653e-06
   6.4286e-01   6.2487e+00   5.5000e+01   1.1806e-06   2.3381e-05   1.2400e-06   1.7600e-07   2.4558e-05   3.4857e-06
   6.6000e-01   6.2658e+00   5.5000e+01   1.1951e-06   2.3235e-05   1.2400e-06   2.0800e-07   2.4108e-05   4.0439e-06
   7.5429e-01   6.3601e+00   5.5000e+01   1.2650e-06   2.2591e-05   1.2400e-06   1.9600e-07   2.2145e-05   3.5003e-06
   8.1429e-01   6.4201e+00   5.5000e+01   1.3028e-06   2.2302e-05   1.2800e-06   1.8400e-07   2.1913e-05   3.1499e-06
   8.4000e-01   6.4458e+00   5.5000e+01   1.3177e-06   2.2203e-05   1.2400e-06   2.1200e-07   2.0893e-05   3.5721e-06
   9.9429e-01   6.6001e+00   5.5000e+01   1.3970e-06   2.1863e-05   1.4000e-06   2.0400e-07   2.1910e-05   3.1926e-06
